Year,Income,Age,Sample Size,Calories (kcal),Protein (g),Carbohydrate (g),Sugar (g),Fiber (g),Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Cholesterol (mg),Vitamin E (mg),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Magnesium (mg),Iron (mg),Sodium (mg),Potassium (mg),Folate (mcg),Caffeine (mg),Alcohol (g)
2011,"$25,000 - $74,999",20 and over,1748,2135,80.3,259,114,17.7,81.3,26.1,29.1,19.6,279,8.8,655,80.2,954,308,15.3,3523,2749,553,189.6,10.4
2011,"$25,000 - $74,999",2 and over,2910,2077,77,259,117,16.8,78.1,25.5,27.7,18.6,260,8.2,630,81.5,969,289,14.9,3395,2614,542,151.3,--
2011,"$75,000 and higher",2-5,167,1540,54.8,212,108,12.9,55.4,20.1,18.8,12,158,5.5,611,81.8,1025,215,10.7,2173,2067,390,6.4,--
2011,"$75,000 and higher",6-11,266,2060,70.2,279,133,15.2,76.8,27,27,16.9,214,7.6,654,83.3,1103,244,14.7,3092,2227,535,17.3,--
2011,"$75,000 and higher",12-19,279,2197,85.1,281,134,15.8,84,29.3,29.6,18.2,261,8.6,679,71.6,1286,286,15.8,3708,2661,593,48.5,--
2011,"$75,000 and higher",20 and over,1053,2291,89.1,271,117,20,86.1,27.4,31.1,20.6,288,10.2,812,89.7,1053,348,16.9,3732,3031,616,181.2,15.8
2011,"$75,000 and higher",2 and over,1765,2217,85.1,269,120,18.7,83.4,27.2,29.9,19.5,271,9.5,771,86.6,1083,324,16.2,3585,2863,593,141.4,--
2011,All,2-5,834,1585,55.6,217,111,12.1,57.2,20.7,19.5,12.2,175,5.5,581,86.4,1006,208,11.4,2285,2045,417,7.3,--
2011,All,6-11,1146,1987,68.4,269,130,14.7,73.3,25.7,25.4,16.2,208,7,619,81.8,1073,237,14.7,3080,2234,539,19.6,--
2011,All,12-19,1152,2175,79.4,286,135,15.3,81.1,27.4,28.2,18.9,259,8.1,590,75,1126,266,15.5,3593,2427,572,52.7,--
2011,All,20 and over,4801,2191,83,266,117,18.1,82.2,26.5,29.4,19.7,282,9,674,84.8,989,314,15.8,3592,2793,570,172.9,12.1
2011,All,2 and over,7933,2139,79.9,266,120,17.2,80,26.2,28.4,18.9,267,8.5,655,83.5,1012,297,15.4,3478,2665,559,137.5,--
2013,"$0 - $24,999",2-5,241,1500,53.3,200,96,11.3,56.2,20,18.5,12.3,195,5.4,506,81.5,908,188,11.1,2321,1881,405,6.4,--
2013,"$0 - $24,999",6-11,330,1819,66.4,245,112,14.6,66.3,23.4,22.3,14.3,196,6.8,611,74.7,1026,233,14.3,2870,2143,510,13.4,--
2013,"$0 - $24,999",12-19,398,2074,79.1,266,122,14.9,79.1,25.7,27.1,18.4,270,8.1,485,72.7,940,253,14.1,3450,2263,526,48.1,--
2013,"$0 - $24,999",20 and over,1550,2129,79.2,261,123,15.8,80.5,26,28,18.9,282,8.7,614,76.4,939,286,14,3345,2488,515,157.6,9.8
2013,"$0 - $24,999",2 and over,2519,2061,76.6,257,121,15.3,77.8,25.4,26.9,18.1,269,8.3,593,76.1,944,272,13.9,3258,2399,510,125,--
2013,"$25,000 - $74,999",2-5,255,1435,52.1,197,91,11.6,51.1,18.4,16.8,11,168,5.6,540,79.9,885,196,11.3,2157,1879,405,4.7,--
2013,"$25,000 - $74,999",6-11,400,1920,66.6,253,115,13.9,73.8,26.7,24.1,16.1,220,7,632,67.1,1022,220,13.8,3009,2122,495,15.3,--
2013,"$25,000 - $74,999",12-19,478,1973,77,250,116,14.2,75.5,25.2,25.6,17.4,248,8.7,579,66.3,1008,247,14.8,3295,2198,550,47.6,--
2013,"$25,000 - $74,999",20 and over,1882,2151,83.4,254,114,16.5,83.3,27.1,28.8,19.4,302,9.2,612,79.1,962,298,14.7,3579,2629,525,163.6,11.1
2013,"$25,000 - $74,999",2 and over,3015,2081,79.9,251,113,15.9,80.2,26.5,27.5,18.5,283,8.8,607,76.9,968,282,14.5,3438,2509,520,132.2,--
2013,"$75,000 and higher",2-5,153,1515,54,207,100,12.2,54.9,20.1,17.7,11.9,161,5.9,595,70.2,991,202,12,2331,1950,450,4.1,--
2013,"$75,000 and higher",6-11,270,2017,69.3,272,128,15.2,75.5,28.1,24.6,15.8,223,7.7,687,81.4,1172,246,14.5,3096,2259,520,15.6,--
2013,"$75,000 and higher",12-19,334,2075,79.9,267,124,14.6,78.1,26.5,26,17.9,239,7.5,644,69.8,1079,263,14.9,3479,2372,541,48.4,--
2013,"$75,000 and higher",20 and over,1303,2144,86.8,246,100,18.6,84.2,26.8,29.4,20,291,10.2,676,80.7,987,327,14.6,3624,2806,541,172.1,12.1
2013,"$75,000 and higher",2 and over,2060,2096,83,249,106,17.5,81.4,26.6,28.1,19.1,273,9.4,670,79,1014,307,14.5,3503,2669,535,136.5,--
2013,All,2-5,676,1481,53,201,97,11.6,53.8,19.4,17.6,11.7,173,5.6,548,77.7,933,196,11.4,2250,1912,422,5.1,--
2013,All,6-11,1047,1921,67.5,256,117,14.5,72.3,26.3,23.8,15.4,216,7.2,653,74.7,1076,233,14.3,2992,2161,517,14.4,--
2013,All,12-19,1296,2038,79,260,120,14.5,77.6,26,26.2,17.9,253,8,579,69.4,1017,254,14.8,3411,2276,545,48.8,--
2013,All,20 and over,5047,2141,83.6,253,111,17.1,82.9,26.7,28.8,19.5,293,9.4,637,79.1,965,305,14.5,3529,2658,528,165,11
2013,All,2 and over,8066,2079,80.3,251,112,16.3,80,26.3,27.6,18.6,276,8.9,627,77.6,978,288,14.4,3409,2538,524,132,--
